t_segundos,angulo_crudo,angulo_filtrado
35.726,37.00,48.38
35.791,49.78,46.15
35.858,67.41,46.83
35.925,31.22,47.83
35.992,18.75,40.83
36.059,18.81,37.20
36.125,16.42,30.53
36.191,17.57,20.56
36.258,40.84,22.48
36.324,43.68,27.47
36.391,27.35,29.17
36.458,24.70,30.83
36.525,20.80,31.47
36.591,14.80,26.26
36.658,11.32,19.79
36.725,12.80,16.88
36.791,11.23,14.19
36.858,19.78,13.99
36.924,18.79,14.78
36.990,23.29,17.18
37.057,8.79,16.38
37.124,10.30,16.19
37.190,10.67,14.37
37.257,17.70,14.15
37.323,9.28,11.35
37.390,19.34,13.46
37.457,19.23,15.24
37.524,13.56,15.82
37.590,17.05,15.69
37.656,39.03,21.64
37.723,75.60,32.89
37.790,109.97,51.04
37.857,152.40,78.81
37.923,168.61,109.12
37.990,167.65,134.84
38.057,171.24,153.97
38.123,172.21,166.42
38.190,170.72,170.09
38.256,172.34,170.83
38.323,170.39,171.38
38.390,29.98,143.13
38.456,135.87,135.86
38.523,39.24,109.56
38.590,41.62,83.42
38.656,37.78,56.90
38.723,32.01,57.30
38.790,37.44,37.62
38.856,36.90,37.15
38.923,40.00,36.83
38.990,46.38,38.55
39.056,46.61,41.47
39.123,31.71,40.32
39.189,28.69,38.68
39.256,109.95,52.67
39.323,157.95,74.98
39.389,165.55,98.77
39.456,168.92,126.21
39.523,166.46,153.77
39.590,171.07,165.99
39.656,167.83,167.97
39.722,168.98,168.65
39.789,168.30,168.53
39.856,168.35,168.90
39.922,165.99,167.89
39.989,165.60,167.44
40.056,165.71,166.79
40.122,167.42,166.61
40.189,165.57,166.06
40.255,2.60,133.38
40.322,134.93,127.25
40.389,103.08,114.72
40.456,83.04,97.84
40.522,57.90,76.31
40.589,19.14,79.62
40.655,129.13,78.46
40.722,173.70,92.58
40.788,172.98,110.57
40.855,172.45,133.48
40.922,167.15,163.08
40.989,14.12,140.08
41.055,54.11,116.16
41.122,15.83,84.73
41.188,30.49,56.34
41.255,22.68,27.45
41.322,10.70,26.76
41.388,8.98,17.74
41.455,179.81,50.53
41.522,170.35,78.50
41.588,161.95,106.36
41.655,154.72,135.16
41.721,145.96,162.56
41.788,149.85,156.57
41.854,147.45,151.99
41.922,165.56,152.71
41.988,166.29,155.02
48.519,150.33,150.33
49.418,107.17,107.17
49.485,107.27,107.22
49.552,71.26,95.23
